date,month,dow,is_weekend,is_high_season,cs_occ,cs_adr,b_occ,b_adr,floor_price,is_bank_holiday,is_cultural_holiday,is_local_event,season,base_value,predicted_occ,recommended_rate,rate_tier
2026-02-28,-0.028446199063651874,0.004259651785117967,-0.0011619412999134512,0.06702775697327161,0.03405766107160525,0.04629667391959083,0.008492850827147777,0.04317021377209676,-0.02423832154354204,0.00035605057403154203,0.0,0.0,-0.018907627343556672,0.6639680327961567,0.6984,82.95,standard
2026-03-01,-0.016506205202795173,-0.022201913851828063,-0.0021916753143595997,0.05459864790577558,-0.018786369423412906,-0.04199083690805491,0.01115439153386069,-0.11199758086161454,-0.03593081966895625,0.0001906804499521968,0.0,0.0,-0.018369851905023098,0.6639680327961567,0.4619,71.25,value
2026-03-02,-0.03232054098472145,0.008692644212027516,0.0005147938736190553,0.06425897315079783,-0.009584161582621164,0.07916607017284696,0.003221557721381033,0.060496601700517204,0.00401542234574299,0.0005018727506394498,0.0,0.0,-0.022012403048083797,0.6639680327961567,0.7857,102.0,high
2026-03-03,-0.020981000277832212,-0.0014278851078634034,0.0004023431214154698,0.07321247384234449,0.0065926916889002315,0.07183601341165922,-0.028580647300846976,0.06520090424586306,0.0027818259170526286,0.00047194744209991767,0.0,0.0,-0.0220446934915999,0.6639680327961567,0.7795,102.0,high
2026-03-04,-0.022435238376334384,0.003992308921358927,0.0005052677087369375,0.0691378755922633,-0.006222621247426104,0.07078317250299006,-0.0008546397639911437,0.013600263142758195,0.0027077456178740246,0.0003324083420593524,0.0,0.0,-0.02325984586878985,0.6639680327961567,0.7339,89.25,standard
2026-03-05,-0.040616432785323925,0.014331027193284173,0.001432276301260572,0.05949065290491126,-0.007494907795657127,-0.038121793347174394,0.00936338372296268,-0.10252296042696979,0.005030196834442904,0.0003157279062870657,0.0,0.0,-0.019579893478468877,0.6639680327961567,0.5193,80.75,value
2026-03-06,-0.03399358215432767,0.011953051562764811,-0.0028520126258663367,0.052947541303328766,-0.015230403383329757,-0.04497074310702374,0.01312394865659553,-0.11478485894491314,-0.03113221160669127,0.0001982390068442328,0.0,0.0,-0.019193511485864293,0.6639680327961567,0.443,67.15,promotional
2026-03-07,-0.02641821379004068,0.004161861801512714,-0.00017470454392605461,0.07273529238319316,-0.004756837961805104,0.05853243777291937,-0.0040406392659533595,0.039897393779025146,-0.021289090146356104,0.00032478934632672465,0.0,0.0,-0.023661373826300406,0.6639680327961567,0.6312,82.95,standard
2026-03-08,-0.02520063035783278,-0.024606318185955385,-0.001966056251578266,0.053160491236398225,-0.04168387460307167,-0.056504836931770115,0.005843958160394321,-0.12152751220823847,-0.03951177689626274,0.00014011204438429557,0.0,0.0,-0.018287127060219063,0.6639680327961567,0.36,63.75,promotional
2026-03-09,0.00604929463985172,-0.003936495629262936,0.0004879743425408378,0.07184847600843933,0.0017206891973191888,0.05122875142290286,0.02492657045204032,0.04359841393215902,0.002848683208863804,0.0003308967075136025,0.0,0.0,-0.02161075576684743,0.6639680327961567,0.6712,89.25,standard
2026-03-10,0.012168884713690204,-0.0014721161799316179,0.0007985731530934572,0.07358226938417647,-0.00200467329240837,0.08009423924386647,0.033099081442833266,0.06405678292481753,0.0034175217458614496,0.00035424963201512584,0.0,0.0,-0.02135854834161364,0.6639680327961567,0.7105,89.25,standard
2026-03-11,-0.01836551981747289,0.008397422899197407,0.0008332808254926931,0.07466073648119345,0.008741122779350009,0.03536837614903925,0.04145710819642044,0.07158370983491841,0.0010447054266915074,0.00032995007724093736,0.0,0.0,-0.022062208768988057,0.6639680327961567,0.6773,89.25,standard
2026-03-12,-0.023943434893872108,0.013944571016640112,0.0015373010155744849,0.07041754049783777,-0.012890457568764759,-0.03131111679347305,0.01986661139557873,-0.0395513068081491,0.003385095177800395,0.00030481221123773136,0.0,0.0,-0.021661233872757292,0.6639680327961567,0.5129,80.75,value
2026-03-13,-0.010125755946848586,0.012634538245943986,-0.0007133947952388552,0.0802991732051014,0.002547990311653848,0.0402527037352811,0.0289279287841473,0.003239230200502789,-0.020863520705290284,0.0003112751286389539,0.0,0.0,-0.027862466701262745,0.6639680327961567,0.5896,75.05,value
2026-03-14,-0.009668072833466795,0.00907245152363248,-0.00017751232597220222,0.08053889728264765,0.004767391912439052,0.020881438716369306,0.016821158468459545,0.0032085094859212408,-0.017852848725189687,0.00034799487273267006,0.0,0.0,-0.027926928006796515,0.6639680327961567,0.5913,75.05,value
2026-03-15,-0.021004952554010744,-0.022875557755460248,-0.001966056251578266,0.053431740576364975,-0.031754451561153474,-0.04751805351308212,0.008449706524834255,-0.1166415058792627,-0.03638959248052925,0.00016562192279525332,0.0,0.0,-0.01849836440871877,0.6639680327961567,0.3195,63.75,promotional
2026-03-16,0.003989652737436698,-0.004237638286555012,0.0008320976499817334,0.07285841153431101,0.004749895235087933,0.03805771585409821,0.033760781069464424,0.03156917627917209,0.0022030760388224734,0.0003091670885041822,0.0,0.0,-0.02294634614921233,0.6639680327961567,0.57,80.75,value
2026-03-17,0.004622549336443625,-0.0015489766011451138,0.0008862837976485026,0.07405616272804036,-0.0033954798269323866,0.09269694604814141,0.02527063046189323,0.07632659539306405,0.0032380892454239073,0.00041234512397204525,0.0,0.0,-0.02160236520062972,0.6639680327961567,0.6284,89.25,standard
2026-03-18,-0.0248636977795959,0.006563378219729202,0.0009346253139374311,0.07188544425925647,-0.006475109428406539,0.07569210040487087,-0.01213348729469544,0.03286795086757411,0.0026318117943374087,0.00039859536038420627,0.0,0.0,-0.023350576308203017,0.6639680327961567,0.5527,80.75,value
2026-03-19,-0.030938251415600464,0.01692231874194658,0.0014003404779359698,0.057386738930545106,0.0013585765667794474,-0.019959977116781377,0.005569568624856401,-0.10766853731134324,0.007315926054157898,0.00027409384089696685,0.0,0.0,-0.020651059211770188,0.6639680327961567,0.4276,72.25,promotional
2026-03-20,-0.0388571289932388,0.013002445730113322,-0.0028409931416390464,0.050004677183045715,-0.016475679556622706,-0.03064565612909428,-0.0026190677163340295,-0.1270187610257708,-0.03253900703968611,0.00018077569366141684,0.0,0.0,-0.020876130867764003,0.6639680327961567,0.3969,67.15,promotional
2026-03-21,-0.0041517861177326285,0.004983505015028641,-0.0002010134610463865,0.07680423386419716,0.0024530679367971973,0.08602490740184293,0.015252291732871525,0.08085563271277714,-0.019485465690866476,0.0003337555799080292,0.0,0.0,-0.02197383374662968,0.6639680327961567,0.7031,82.95,standard
2026-03-22,-0.02107678767423386,-0.02225613174695718,-0.0022098178403975907,0.05500406418761122,-0.021211552916125587,-0.0434355483114814,0.01176984114926563,-0.10695949209820538,-0.03987362650694194,0.0001678754326494527,0.0,0.0,-0.0183915923806926,0.6639680327961567,0.3163,63.75,promotional
2026-03-23,-0.005257876087744082,-0.0028850014273266423,0.0004790392378054094,0.07087092566258799,1.7521326241876772e-05,0.07056929537964607,0.0016876260879907933,0.04427206821631262,0.0029413710400658603,0.00034977833231096154,0.0,0.0,-0.021701419576933403,0.6639680327961567,0.5836,80.75,value
2026-03-24,0.004577745021360897,-0.0015489766011451138,0.0008862837976485026,0.07405616272804036,-0.0033954798269323866,0.08920932163466205,0.02556720058646351,0.07653429904140284,0.0032380892454239073,0.0004038929790549445,0.0,0.0,-0.02160236520062972,0.6639680327961567,0.6398,89.25,standard
2026-03-25,-0.00489911127335836,0.00826978545732345,0.0005095411613001489,0.07319194829558547,0.005700049239568216,0.08515192652682163,0.02617647019920332,0.07418594938331444,0.0033080114076219614,0.00035423698813247023,0.0,0.0,-0.02293702993546685,0.6639680327961567,0.6271,89.25,standard
2026-03-26,-0.01796849882573406,0.013740436754880646,0.0010328916339203715,0.0723012256719594,-0.002591947292939949,-0.03843898487386832,0.010510265090613757,-0.0438977933190763,0.004784834979524021,0.00029955853456340267,0.0,0.0,-0.021507801632440534,0.6639680327961567,0.4242,72.25,promotional
2026-03-27,-0.03688118825983293,0.013658745238610208,-0.0020629764245095428,0.057904259180395455,0.002236422635729468,-0.029012202240042827,0.010608754386323199,-0.13177574692406052,-0.03200440802752928,0.00027408635830215644,0.0,0.0,-0.020330505891513896,0.6639680327961567,0.3497,67.15,promotional
2026-03-28,-0.013214623874233437,0.006328167709703848,-0.0001731165444944054,0.07327213543340622,0.006802773450924178,0.062119584482723436,0.012338830750330088,0.04355909295452511,-0.017832660040205155,0.0003236058153124759,0.0,0.0,-0.022748741128893017,0.6639680327961567,0.5902,75.05,value
2026-03-29,-0.02724481518993889,-0.02743018466828471,-0.0020265732155239674,0.052867027406544365,-0.036774683076628206,-0.054018215735854025,0.006617293365537988,-0.1139525298869703,-0.046041777444752366,0.00013553280043561243,0.0,0.0,-0.01858891250983288,0.6639680327961567,0.2853,63.75,promotional
