year_month,n_reviews,avg_compound,avg_pos,avg_neg,pct_positive,pct_negative,pct_neutral,avg_star_rating,year_month_str,date
2015-04,7,0.718,0.245,0.027,85.714,14.286,0.0,4.429,2015-04,2015-04-01
2015-05,4,0.837,0.226,0.031,100.0,0.0,0.0,3.5,2015-05,2015-05-01
2015-06,6,0.943,0.24,0.02,100.0,0.0,0.0,4.167,2015-06,2015-06-01
2015-07,8,0.71,0.219,0.054,87.5,12.5,0.0,3.875,2015-07,2015-07-01
2015-08,4,0.98,0.237,0.008,100.0,0.0,0.0,4.0,2015-08,2015-08-01
2015-09,11,0.934,0.329,0.025,100.0,0.0,0.0,4.091,2015-09,2015-09-01
2015-10,11,0.908,0.224,0.014,100.0,0.0,0.0,4.182,2015-10,2015-10-01
2015-11,5,0.928,0.248,0.0,100.0,0.0,0.0,4.2,2015-11,2015-11-01
2015-12,1,0.978,0.146,0.038,100.0,0.0,0.0,3.0,2015-12,2015-12-01
2016-01,5,0.699,0.205,0.06,80.0,20.0,0.0,3.8,2016-01,2016-01-01
2016-02,4,0.727,0.189,0.041,100.0,0.0,0.0,4.25,2016-02,2016-02-01
2016-03,5,0.714,0.141,0.052,100.0,0.0,0.0,3.2,2016-03,2016-03-01
2016-04,8,0.341,0.152,0.07,62.5,37.5,0.0,3.0,2016-04,2016-04-01
2016-05,5,0.958,0.197,0.024,100.0,0.0,0.0,4.2,2016-05,2016-05-01
2016-06,9,0.642,0.19,0.046,77.778,11.111,11.111,4.222,2016-06,2016-06-01
2016-07,9,0.978,0.257,0.017,100.0,0.0,0.0,4.556,2016-07,2016-07-01
2016-08,14,0.77,0.184,0.064,92.857,7.143,0.0,3.286,2016-08,2016-08-01
2016-09,9,0.871,0.169,0.039,100.0,0.0,0.0,3.222,2016-09,2016-09-01
2016-10,5,0.939,0.256,0.023,100.0,0.0,0.0,4.4,2016-10,2016-10-01
2016-11,6,0.755,0.169,0.07,100.0,0.0,0.0,2.833,2016-11,2016-11-01
2016-12,3,0.983,0.242,0.066,100.0,0.0,0.0,3.333,2016-12,2016-12-01
2017-02,5,0.699,0.238,0.031,80.0,20.0,0.0,4.0,2017-02,2017-02-01
2017-03,9,0.978,0.281,0.018,100.0,0.0,0.0,4.667,2017-03,2017-03-01
2017-04,5,0.851,0.161,0.02,100.0,0.0,0.0,3.4,2017-04,2017-04-01
2017-05,9,0.815,0.206,0.023,88.889,11.111,0.0,4.111,2017-05,2017-05-01
2017-06,5,0.175,0.12,0.07,60.0,40.0,0.0,3.2,2017-06,2017-06-01
2017-07,6,0.878,0.229,0.021,100.0,0.0,0.0,4.167,2017-07,2017-07-01
2017-08,7,0.561,0.189,0.031,85.714,14.286,0.0,3.714,2017-08,2017-08-01
2017-09,6,0.744,0.152,0.055,100.0,0.0,0.0,3.333,2017-09,2017-09-01
2017-10,4,0.977,0.221,0.024,100.0,0.0,0.0,4.0,2017-10,2017-10-01
2017-11,5,0.583,0.219,0.078,80.0,20.0,0.0,2.8,2017-11,2017-11-01
2017-12,3,0.978,0.355,0.011,100.0,0.0,0.0,4.333,2017-12,2017-12-01
